MUNICIPIO,SECCION
"6","331"
"6","332"
"6","333"
"13","741"
"14","756"
"6","334"
"13","751"
"14","757"
"6","335"
"13","740"
"13","742"
"13","744"
"14","752"
"20","1427"
"13","743"
"14","753"
"14","754"
"13","745"
"13","746"
"14","755"
"20","1428"
"13","747"
"13","750"
"20","1803"
"13","748"
"13","749"
"14","758"
"9","611"
"14","759"
"14","760"
"14","761"
"14","762"
"14","763"
"14","764"
"14","765"
"3","147"
"14","766"
"14","767"
"14","768"
"14","769"
"14","770"
"3","148"
"14","771"
"14","772"
"14","773"
"14","774"
"14","775"
"20","1804"
"14","776"
"14","777"
"33","2551"
"14","778"
"14","779"
"14","780"
"33","2552"
"33","2553"
"14","781"
"14","782"
"33","2554"
"33","2555"
"20","1429"
"14","783"
"14","784"
"14","785"
"14","786"
"14","789"
"14","787"
"14","790"
"3","149"
"14","788"
"14","791"
"14","792"
"14","793"
"33","2556"
"3","150"
"14","794"
"14","796"
"33","2557"
"3","151"
"3","152"
"14","795"
"3","153"
"14","797"
"14","798"
"33","2558"
"20","3054"
"14","799"
"14","803"
"33","2559"
"14","800"
"14","807"
"14","801"
"14","802"
"33","2560"
"14","804"
"14","805"
"33","2561"
"33","2563"
"20","1444"
"14","806"
"3","154"
"14","808"
"20","1275"
"14","809"
"14","810"
"14","811"
"14","812"
"14","813"
"14","814"
"14","816"
"14","815"
"20","1291"
"14","817"
"14","818"
"33","2545"
"33","2546"
"20","1445"
"20","1446"
"14","819"
"33","2547"
"33","2548"
"14","820"
"33","2549"
"14","821"
"33","2550"
"20","1314"
"14","822"
"33","2543"
"33","2544"
"20","1315"
"20","1447"
"33","2564"
"33","2566"
"33","2568"
"33","2569"
"33","2570"
"33","2582"
"20","1454"
"33","2571"
"33","2583"
"20","1316"
"20","1455"
"33","2572"
"20","1317"
"20","1456"
"33","2573"
"33","2574"
"20","1457"
"33","2575"
"33","2576"
"33","2584"
"9","614"
"33","2577"
"33","2578"
"33","2579"
"20","1318"
"33","2580"
"33","2581"
"32","2518"
"33","2585"
"33","2586"
"33","2594"
"33","2587"
"20","1458"
"20","1459"
"33","2588"
"33","2589"
"20","1319"
"33","2590"
"33","2591"
"20","1320"
"20","1321"
"33","2592"
"33","2595"
"33","2596"
"20","1325"
"33","2593"
"20","1460"
"20","1461"
"33","2597"
"33","2598"
"33","2599"
"3","155"
"20","1470"
"20","1471"
"20","1472"
